# world seed 979839
type,name,x,y,param1,param2,yaw
box,partition_0,-3.99,-7.66,0.40,4.68,0
box,partition_1,-3.99,-4.14,0.40,1.07,0
door,door_S_H,-3.99,-5.00,0.65,x,0
box,partition_2,-3.99,-1.17,0.40,4.86,0
box,partition_3,-3.99,6.05,0.40,7.90,0
door,door_N_A,-3.99,1.68,0.84,x,0
box,partition_4,-8.90,-3.60,2.20,0.40,0
box,partition_5,-5.53,-3.60,3.07,0.40,0
door,door_W_A,-7.43,-3.60,0.74,y,0
box,partition_6,-2.79,-3.60,2.40,0.40,0
box,partition_7,4.58,-3.60,10.84,0.40,0
door,door_E_H,-1.22,-3.60,0.75,y,0
box,rnd_box_0,2.88,5.63,1.89,0.56,167.0
box,rnd_box_1,8.18,-1.51,1.86,1.65,43.0
box,rnd_box_2,4.53,0.53,2.58,0.59,165.1
box,rnd_box_3,5.01,8.10,1.18,1.33,69.8
box,rnd_box_4,-7.63,-7.73,2.55,1.23,129.1
box,rnd_box_5,4.35,-7.27,2.58,1.81,171.7
box,rnd_box_6,-6.87,3.49,1.45,1.93,148.8
box,rnd_box_7,1.07,4.13,1.04,0.65,140.7
cyl,rnd_cyl_0,-5.54,7.58,0.59,2.0,0
cyl,rnd_cyl_1,-0.15,-7.82,1.36,2.0,0
cyl,rnd_cyl_2,-0.78,3.10,0.73,2.0,0
cyl,rnd_cyl_3,0.02,8.19,1.35,2.0,0
person,person_0,8.03,3.70,0,0,104.6
person,person_1,-6.98,-0.46,0,0,136.5
person,person_2,8.37,-7.82,0,0,-77.5
path,person_1,-6.98,-0.46,0,0.76,3.0
path,person_1,-4.89,1.68,1,0.76,0.0
path,person_1,-3.09,1.68,2,0.76,0.0
path,person_1,-1.14,0.32,3,0.76,3.0
path,person_1,-3.09,1.68,4,0.76,0.0
path,person_1,-4.89,1.68,5,0.76,0.0
xdoor,person_1,-3.99,1.68,0.84,N,0
path,person_0,8.03,3.70,0,1.05,3.0
path,person_0,8.52,0.76,1,1.05,3.0
path,person_0,5.54,5.06,2,1.05,3.0
path,person_2,8.37,-7.82,0,1.15,3.0
path,person_2,7.51,-5.29,1,1.15,3.0
