# world seed 759639
type,name,x,y,param1,param2,yaw
box,partition_0,-6.98,-3.70,6.05,0.40,0
box,partition_1,-0.24,-3.70,5.71,0.40,0
box,partition_2,6.73,-3.70,6.54,0.40,0
door,door_0,-3.52,-3.70,0.86,y,0
door,door_1,3.04,-3.70,0.85,y,0
box,rnd_box_0,-6.51,1.20,1.46,1.98,12.6
box,rnd_box_1,-8.07,6.04,1.67,1.05,179.1
box,rnd_box_2,4.97,5.66,2.03,0.72,88.5
box,rnd_box_3,4.85,-6.28,1.30,1.64,13.1
box,rnd_box_4,-0.35,4.27,3.00,1.98,84.7
box,rnd_box_5,1.92,-7.89,2.87,0.53,135.9
box,rnd_box_6,7.89,7.79,2.26,1.46,30.3
box,rnd_box_7,6.14,-0.30,2.78,1.42,56.7
box,rnd_box_8,3.29,1.78,2.21,0.61,154.2
box,rnd_box_9,2.71,7.64,1.36,1.25,43.8
box,rnd_box_10,-5.78,8.33,0.88,1.99,138.7
cyl,rnd_cyl_0,-6.83,-7.74,0.58,2.0,0
cyl,rnd_cyl_1,-3.64,5.15,0.81,2.0,0
cyl,rnd_cyl_2,-5.40,-6.27,0.45,2.0,0
cyl,rnd_cyl_3,8.32,-8.02,1.20,2.0,0
cyl,rnd_cyl_4,-3.55,-0.23,1.15,2.0,0
person,person_0,-0.71,8.14,0,0,-73.9
person,person_1,8.31,3.94,0,0,-114.8
person,person_2,-3.13,-6.91,0,0,-110.2
