# world seed 20260723020
type,name,x,y,param1,param2,yaw
box,partition_0,-2.44,-5.25,0.40,9.50,0
box,partition_1,-2.44,2.26,0.40,3.88,0
door,door_S_A,-2.44,-0.09,0.82,x,0
box,partition_2,-2.44,4.74,0.40,1.08,0
box,partition_3,-2.44,7.97,0.40,4.05,0
door,door_N_H,-2.44,5.62,0.66,x,0
box,partition_4,-8.54,4.20,2.91,0.40,0
box,partition_5,-4.40,4.20,3.93,0.40,0
door,door_W_A,-6.73,4.20,0.72,y,0
box,partition_6,1.51,4.20,7.90,0.40,0
box,partition_7,8.06,4.20,3.88,0.40,0
door,door_E_H,5.79,4.20,0.66,y,0
box,rnd_box_0,0.25,-3.46,2.33,0.99,124.6
box,rnd_box_1,8.08,8.44,1.84,1.61,69.0
box,rnd_box_2,-6.42,-7.82,1.07,1.70,146.8
box,rnd_box_3,2.53,-5.61,0.92,1.50,80.8
box,rnd_box_4,-6.97,8.11,2.91,0.98,60.7
box,rnd_box_5,-6.75,-2.09,0.96,1.36,114.6
box,rnd_box_6,0.77,7.46,2.37,1.93,18.0
box,rnd_box_7,5.04,-3.30,1.82,0.82,125.0
box,rnd_box_8,3.57,0.75,1.08,0.67,90.3
box,rnd_box_9,5.74,-7.93,2.53,1.10,128.2
cyl,rnd_cyl_0,-3.87,-5.86,0.64,2.0,0
cyl,rnd_cyl_1,-7.13,-5.01,0.92,2.0,0
cyl,rnd_cyl_2,7.82,-5.34,1.18,2.0,0
cyl,rnd_cyl_3,2.83,-2.88,0.42,2.0,0
cyl,rnd_cyl_4,7.95,-0.92,0.48,2.0,0
person,person_0,4.27,7.87,0,0,35.4
person,person_1,0.98,-8.07,0,0,87.2
person,person_2,-5.83,0.57,0,0,-9.6
path,person_2,-5.83,0.57,0,0.94,3.0
path,person_2,-3.34,-0.09,1,0.94,0.0
path,person_2,-1.54,-0.09,2,0.94,0.0
path,person_2,1.28,-0.04,3,0.94,3.0
path,person_2,-1.54,-0.09,4,0.94,0.0
path,person_2,-3.34,-0.09,5,0.94,0.0
xdoor,person_2,-2.44,-0.09,0.82,S,0
path,person_0,4.27,7.87,0,0.97,3.0
path,person_0,4.65,5.03,1,0.97,3.0
path,person_0,3.41,8.76,2,0.97,3.0
path,person_1,0.98,-8.07,0,0.89,3.0
path,person_1,3.91,-7.29,1,0.89,3.0
path,person_1,0.28,-7.82,2,0.89,3.0
path,person_1,3.12,-8.69,3,0.89,3.0
