# world seed 20260723025
type,name,x,y,param1,param2,yaw
box,partition_0,4.48,-4.20,0.40,11.60,0
box,partition_1,4.48,3.50,0.40,2.42,0
door,door_S_H,4.48,1.94,0.69,x,0
box,partition_2,4.48,6.33,0.40,3.24,0
box,partition_3,4.48,9.38,0.40,1.23,0
door,door_N_A,4.48,8.36,0.82,x,0
box,partition_4,-4.35,4.71,11.30,0.40,0
box,partition_5,3.23,4.71,2.51,0.40,0
door,door_W_H,1.64,4.71,0.67,y,0
box,partition_6,6.17,4.71,3.37,0.40,0
box,partition_7,9.33,4.71,1.34,0.40,0
door,door_E_A,8.25,4.71,0.81,y,0
box,rnd_box_0,-8.20,-0.28,2.42,0.89,161.5
box,rnd_box_1,-3.91,7.66,2.09,0.78,30.3
box,rnd_box_2,-7.40,7.71,1.83,1.69,124.1
box,rnd_box_3,6.69,-1.80,2.84,0.99,178.9
box,rnd_box_4,2.39,-7.81,2.51,0.86,169.9
box,rnd_box_5,-5.51,-6.32,2.05,1.60,2.2
box,rnd_box_6,-3.25,0.38,0.86,0.93,12.0
box,rnd_box_7,7.33,-7.17,1.88,1.29,38.7
box,rnd_box_8,-0.82,-7.84,1.10,1.50,56.3
box,rnd_box_9,-0.11,8.46,2.08,1.71,122.3
box,rnd_box_10,-4.76,2.43,0.81,1.91,116.3
cyl,rnd_cyl_0,-6.28,-2.40,0.80,2.0,0
cyl,rnd_cyl_1,-2.38,-3.53,1.34,2.0,0
cyl,rnd_cyl_2,-1.80,2.87,0.84,2.0,0
cyl,rnd_cyl_3,1.61,-4.47,1.39,2.0,0
cyl,rnd_cyl_4,8.18,2.22,0.51,2.0,0
cyl,rnd_cyl_5,-8.13,-4.14,1.01,2.0,0
person,person_0,2.83,-0.86,0,0,22.9
person,person_1,8.45,8.46,0,0,162.1
person,person_2,-7.67,2.97,0,0,-179.7
path,person_1,8.45,8.46,0,0.82,3.0
path,person_1,5.38,8.36,1,0.82,0.0
path,person_1,3.58,8.36,2,0.82,0.0
path,person_1,2.09,6.53,3,0.82,3.0
path,person_1,3.58,8.36,4,0.82,0.0
path,person_1,5.38,8.36,5,0.82,0.0
xdoor,person_1,4.48,8.36,0.82,N,0
path,person_0,2.83,-0.86,0,0.72,3.0
path,person_0,-0.87,1.17,1,0.72,3.0
path,person_0,2.22,-0.66,2,0.72,3.0
path,person_0,-0.05,0.91,3,0.72,3.0
path,person_2,-7.67,2.97,0,0.91,3.0
path,person_2,-5.70,0.68,1,0.91,3.0
path,person_2,-3.33,-1.41,2,0.91,3.0
