# world seed 20260723008
type,name,x,y,param1,param2,yaw
box,partition_0,-4.09,-8.42,0.40,3.17,0
box,partition_1,-4.09,-5.26,0.40,1.60,0
door,door_S_H,-4.09,-6.44,0.78,x,0
box,partition_2,-4.09,0.16,0.40,9.23,0
box,partition_3,-4.09,7.84,0.40,4.32,0
door,door_N_A,-4.09,5.23,0.91,x,0
box,partition_4,-8.00,-4.46,4.01,0.40,0
box,partition_5,-4.62,-4.46,1.07,0.40,0
door,door_W_A,-5.57,-4.46,0.84,y,0
box,partition_6,0.20,-4.46,8.57,0.40,0
box,partition_7,7.62,-4.46,4.76,0.40,0
door,door_E_H,4.86,-4.46,0.76,y,0
box,rnd_box_0,-1.92,7.99,2.71,0.54,88.0
box,rnd_box_1,-0.24,4.68,1.59,1.89,155.0
box,rnd_box_2,7.53,1.42,2.59,1.71,118.1
box,rnd_box_3,-6.67,2.81,2.21,1.42,68.0
box,rnd_box_4,-6.47,-0.71,0.93,1.84,36.5
box,rnd_box_5,4.33,3.76,1.09,1.94,41.8
box,rnd_box_6,2.82,-0.74,1.11,1.15,136.6
box,rnd_box_7,-0.00,-6.61,1.94,0.97,123.1
cyl,rnd_cyl_0,8.22,-7.41,0.92,2.0,0
cyl,rnd_cyl_1,3.71,7.30,1.12,2.0,0
cyl,rnd_cyl_2,-6.95,6.81,1.32,2.0,0
cyl,rnd_cyl_3,4.99,-8.14,0.57,2.0,0
person,person_0,7.93,7.55,0,0,-34.9
person,person_1,-8.07,-7.11,0,0,-126.2
person,person_2,8.26,-2.27,0,0,-18.9
path,person_1,-8.07,-7.11,0,1.03,3.0
path,person_1,-5.57,-5.36,1,1.03,0.0
path,person_1,-5.57,-3.56,2,1.03,0.0
path,person_1,-7.96,-1.47,3,1.03,3.0
path,person_1,-5.57,-3.56,4,1.03,0.0
path,person_1,-5.57,-5.36,5,1.03,0.0
xdoor,person_1,-5.57,-4.46,0.84,W,0
path,person_0,7.93,7.55,0,0.91,3.0
path,person_0,6.40,4.69,1,0.91,3.0
path,person_0,6.78,7.28,2,0.91,3.0
path,person_0,7.13,4.09,3,0.91,3.0
path,person_0,8.41,6.38,4,0.91,3.0
path,person_2,8.26,-2.27,0,0.90,3.0
path,person_2,4.86,-1.86,1,0.90,3.0
path,person_2,1.85,-3.23,2,0.90,3.0
