# world seed 20260723023
type,name,x,y,param1,param2,yaw
box,partition_0,4.43,-6.13,0.40,7.75,0
box,partition_1,4.43,0.41,0.40,4.01,0
door,door_S_H,4.43,-1.92,0.66,x,0
box,partition_2,4.43,3.30,0.40,1.77,0
box,partition_3,4.43,7.53,0.40,4.94,0
door,door_N_A,4.43,4.62,0.87,x,0
box,partition_4,-5.29,2.42,9.41,0.40,0
box,partition_5,2.30,2.42,4.25,0.40,0
door,door_W_H,-0.21,2.42,0.77,y,0
box,partition_6,5.39,2.42,1.91,0.40,0
box,partition_7,8.65,2.42,2.71,0.40,0
door,door_E_A,6.82,2.42,0.95,y,0
box,rnd_box_0,-0.93,-6.72,2.84,1.56,42.9
box,rnd_box_1,6.39,-7.40,0.90,0.84,91.8
box,rnd_box_2,7.91,-1.21,1.22,1.09,20.1
box,rnd_box_3,-6.17,-4.37,2.74,1.15,163.7
box,rnd_box_4,-3.05,4.76,2.25,0.65,11.6
box,rnd_box_5,8.49,-5.70,1.52,1.04,147.8
box,rnd_box_6,1.45,-3.65,2.69,1.21,40.9
box,rnd_box_7,7.85,8.22,1.56,0.74,35.2
box,rnd_box_8,-6.36,6.35,2.72,1.50,75.3
box,rnd_box_9,-7.38,-8.07,2.56,1.27,16.9
box,rnd_box_10,1.58,8.09,2.04,1.67,55.8
box,rnd_box_11,-8.25,-0.34,2.30,1.87,154.2
cyl,rnd_cyl_0,-2.12,8.34,1.15,2.0,0
cyl,rnd_cyl_1,-0.27,5.46,0.59,2.0,0
cyl,rnd_cyl_2,2.74,-6.39,0.75,2.0,0
cyl,rnd_cyl_3,-4.28,-0.94,1.04,2.0,0
cyl,rnd_cyl_5,7.33,6.01,0.65,2.0,0
person,person_0,-2.02,-3.05,0,0,-38.2
person,person_1,-4.01,-8.40,0,0,82.0
path,person_0,-2.02,-3.05,0,0.97,3.0
path,person_0,-0.21,1.52,1,0.97,0.0
path,person_0,-0.21,3.32,2,0.97,0.0
path,person_0,-3.44,2.97,3,0.97,3.0
path,person_0,-0.21,3.32,4,0.97,0.0
path,person_0,-0.21,1.52,5,0.97,0.0
xdoor,person_0,-0.21,2.42,0.77,W,0
path,person_1,-4.01,-8.40,0,1.19,3.0
path,person_1,-2.79,-4.45,1,1.19,3.0
path,person_1,-1.21,-0.46,2,1.19,3.0
