# world seed 20260723007
type,name,x,y,param1,param2,yaw
box,partition_0,2.40,-7.27,0.40,5.46,0
box,partition_1,2.40,-3.16,0.40,0.89,0
door,door_S_A,2.40,-4.07,0.94,x,0
box,partition_2,2.40,0.90,0.40,7.23,0
box,partition_3,2.40,7.59,0.40,4.82,0
door,door_N_H,2.40,4.85,0.67,x,0
box,partition_4,-7.97,-2.72,4.05,0.40,0
box,partition_5,-1.34,-2.72,7.49,0.40,0
door,door_W_A,-5.52,-2.72,0.86,y,0
box,partition_6,3.50,-2.72,2.20,0.40,0
box,partition_7,7.66,-2.72,4.68,0.40,0
door,door_E_H,4.96,-2.72,0.72,y,0
box,rnd_box_0,-0.40,-7.00,1.21,1.69,29.2
box,rnd_box_1,-8.16,7.98,0.84,0.94,95.3
box,rnd_box_2,-6.52,-6.29,1.11,0.80,176.3
box,rnd_box_3,6.69,5.80,1.94,0.90,142.2
box,rnd_box_4,-3.08,-4.84,1.75,1.84,119.3
box,rnd_box_5,-2.04,7.10,1.21,1.27,74.8
box,rnd_box_6,-6.09,1.74,2.18,0.55,57.3
box,rnd_box_7,8.05,-7.63,1.95,1.80,159.9
box,rnd_box_8,7.73,1.06,0.86,1.99,53.4
cyl,rnd_cyl_0,-8.08,3.72,0.85,2.0,0
cyl,rnd_cyl_1,0.34,8.24,0.70,2.0,0
cyl,rnd_cyl_2,-2.81,2.88,0.98,2.0,0
cyl,rnd_cyl_3,-5.67,6.40,1.21,2.0,0
cyl,rnd_cyl_5,-4.24,-8.28,1.39,2.0,0
person,person_0,4.62,-7.99,0,0,-72.7
person,person_1,5.02,8.04,0,0,-128.8
person,person_2,8.11,8.27,0,0,8.6
path,person_0,4.62,-7.99,0,0.92,3.0
path,person_0,3.30,-4.07,1,0.92,0.0
path,person_0,1.50,-4.07,2,0.92,0.0
path,person_0,1.72,-8.38,3,0.92,3.0
path,person_0,1.50,-4.07,4,0.92,0.0
path,person_0,3.30,-4.07,5,0.92,0.0
xdoor,person_0,2.40,-4.07,0.94,S,0
path,person_1,5.02,8.04,0,0.78,3.0
path,person_1,8.32,8.41,1,0.78,3.0
path,person_1,5.56,7.11,2,0.78,3.0
path,person_1,3.15,1.36,3,0.78,3.0
path,person_2,8.11,8.27,0,0.91,3.0
path,person_2,8.29,4.67,1,0.91,3.0
path,person_2,8.32,7.35,2,0.91,3.0
path,person_2,3.58,7.77,3,0.91,3.0
