# world seed 20260723012
type,name,x,y,param1,param2,yaw
box,partition_0,-3.93,-9.14,0.40,1.73,0
box,partition_1,-3.93,-5.57,0.40,3.90,0
door,door_S_H,-3.93,-7.90,0.75,x,0
box,partition_2,-3.93,0.45,0.40,8.15,0
box,partition_3,-3.93,7.63,0.40,4.73,0
door,door_N_A,-3.93,4.90,0.75,x,0
box,partition_4,-8.46,-3.63,3.08,0.40,0
box,partition_5,-5.10,-3.63,2.34,0.40,0
door,door_W_H,-6.60,-3.63,0.65,y,0
box,partition_6,-1.42,-3.63,5.03,0.40,0
box,partition_7,5.96,-3.63,8.09,0.40,0
door,door_E_A,1.51,-3.63,0.81,y,0
box,rnd_box_0,7.42,4.97,1.02,1.19,16.7
box,rnd_box_1,4.47,6.41,2.96,0.66,21.3
box,rnd_box_2,7.68,-6.21,2.01,1.66,88.8
box,rnd_box_3,5.51,0.01,2.96,1.11,157.9
box,rnd_box_4,3.54,-6.63,0.92,1.72,16.5
box,rnd_box_5,1.56,3.45,2.64,1.13,173.8
box,rnd_box_6,-7.36,-6.91,0.90,1.46,154.4
box,rnd_box_7,-0.62,6.25,2.34,1.37,143.1
box,rnd_box_8,7.61,2.64,1.46,0.74,78.9
cyl,rnd_cyl_0,-1.07,-6.81,1.03,2.0,0
cyl,rnd_cyl_1,-8.29,-0.10,0.77,2.0,0
cyl,rnd_cyl_2,-8.00,8.45,1.31,2.0,0
cyl,rnd_cyl_3,-7.63,5.02,1.34,2.0,0
cyl,rnd_cyl_4,8.46,-1.33,0.79,2.0,0
cyl,rnd_cyl_5,-6.24,0.89,0.59,2.0,0
person,person_0,-1.78,2.34,0,0,135.3
person,person_1,8.28,7.63,0,0,27.2
path,person_0,-1.78,2.34,0,1.18,3.0
path,person_0,1.51,-2.73,1,1.18,0.0
path,person_0,1.51,-4.53,2,1.18,0.0
path,person_0,-3.06,-5.71,3,1.18,3.0
path,person_0,1.51,-4.53,4,1.18,0.0
path,person_0,1.51,-2.73,5,1.18,0.0
xdoor,person_0,1.51,-3.63,0.81,E,0
path,person_1,8.28,7.63,0,0.76,3.0
path,person_1,5.47,8.22,1,0.76,3.0
path,person_1,8.25,7.95,2,0.76,3.0
path,person_1,3.96,8.69,3,0.76,3.0
path,person_1,7.74,8.72,4,0.76,3.0
