# world seed 20260723014
type,name,x,y,param1,param2,yaw
box,partition_0,-3.51,-9.38,0.40,1.25,0
box,partition_1,-3.51,-5.49,0.40,5.40,0
door,door_S_H,-3.51,-8.47,0.56,x,0
box,partition_2,-3.51,2.64,0.40,10.87,0
box,partition_3,-3.51,9.46,0.40,1.09,0
door,door_N_A,-3.51,8.50,0.84,x,0
box,partition_4,-8.11,-2.79,3.79,0.40,0
box,partition_5,-4.39,-2.79,1.76,0.40,0
door,door_W_A,-5.74,-2.79,0.94,y,0
box,partition_6,0.89,-2.79,8.80,0.40,0
box,partition_7,7.91,-2.79,4.19,0.40,0
door,door_E_H,5.55,-2.79,0.53,y,0
box,rnd_box_0,3.18,8.17,0.85,1.74,38.3
box,rnd_box_1,-1.49,5.58,0.89,1.33,20.3
box,rnd_box_2,4.06,1.81,2.88,1.89,168.4
box,rnd_box_3,-6.63,-7.58,1.30,0.56,16.8
box,rnd_box_4,7.36,6.30,2.25,1.21,63.3
box,rnd_box_5,-6.66,6.00,1.62,0.65,33.6
box,rnd_box_6,-5.43,0.34,2.35,0.65,176.3
box,rnd_box_7,5.44,-8.19,2.93,1.35,17.5
box,rnd_box_8,1.06,4.46,1.55,0.60,37.4
box,rnd_box_9,0.06,7.91,2.05,1.05,44.9
box,rnd_box_10,-0.32,-6.88,0.98,1.62,72.8
cyl,rnd_cyl_0,-8.38,-5.27,1.27,2.0,0
cyl,rnd_cyl_1,8.23,-0.57,1.30,2.0,0
cyl,rnd_cyl_2,3.12,-5.21,0.75,2.0,0
cyl,rnd_cyl_3,7.85,-5.47,1.30,2.0,0
cyl,rnd_cyl_4,8.41,3.88,0.43,2.0,0
person,person_0,-1.61,2.49,0,0,157.7
person,person_1,-7.52,2.73,0,0,61.8
person,person_2,-1.39,-4.50,0,0,-38.1
path,person_2,-1.39,-4.50,0,0.71,3.0
path,person_2,-2.61,-8.47,1,0.71,0.0
path,person_2,-4.41,-8.47,2,0.71,0.0
path,person_2,-5.87,-6.10,3,0.71,3.0
path,person_2,-4.41,-8.47,4,0.71,0.0
path,person_2,-2.61,-8.47,5,0.71,0.0
xdoor,person_2,-3.51,-8.47,0.56,S,0
path,person_0,-1.61,2.49,0,0.91,3.0
path,person_0,1.72,0.32,1,0.91,3.0
path,person_0,-2.60,-2.20,2,0.91,3.0
path,person_0,-2.51,0.61,3,0.91,3.0
path,person_1,-7.52,2.73,0,1.06,3.0
path,person_1,-4.37,2.87,1,1.06,3.0
path,person_1,-7.76,3.66,2,1.06,3.0
path,person_1,-5.04,4.25,3,1.06,3.0
