# world seed 20260723016
type,name,x,y,param1,param2,yaw
box,partition_0,-4.44,-4.26,0.40,11.49,0
box,partition_1,-4.44,3.52,0.40,2.21,0
door,door_S_A,-4.44,1.95,0.93,x,0
box,partition_2,-4.44,5.89,0.40,2.53,0
box,partition_3,-4.44,8.92,0.40,2.16,0
door,door_N_H,-4.44,7.50,0.69,x,0
box,partition_4,-9.19,4.62,1.62,0.40,0
box,partition_5,-5.97,4.62,3.07,0.40,0
door,door_W_A,-7.95,4.62,0.87,y,0
box,partition_6,0.22,4.62,9.32,0.40,0
box,partition_7,7.83,4.62,4.35,0.40,0
door,door_E_H,5.27,4.62,0.77,y,0
box,rnd_box_0,-1.28,7.89,1.25,0.86,156.2
box,rnd_box_1,6.65,-1.32,1.93,1.17,21.4
box,rnd_box_2,-7.97,-5.37,2.04,0.61,155.0
box,rnd_box_3,-8.39,0.65,1.22,1.95,28.4
box,rnd_box_4,6.21,-6.57,2.71,1.77,108.1
box,rnd_box_5,-6.38,-1.92,1.72,0.87,175.3
box,rnd_box_6,2.92,-0.45,1.66,0.87,106.9
box,rnd_box_7,1.98,-7.29,2.03,1.01,155.9
box,rnd_box_8,-1.41,-4.46,2.88,0.80,8.0
box,rnd_box_9,-2.40,-8.09,1.76,1.54,149.7
cyl,rnd_cyl_0,7.72,2.03,0.66,2.0,0
cyl,rnd_cyl_1,6.38,8.09,1.40,2.0,0
cyl,rnd_cyl_2,2.49,-3.73,0.99,2.0,0
cyl,rnd_cyl_3,-8.22,-8.33,1.19,2.0,0
cyl,rnd_cyl_4,2.09,6.37,0.58,2.0,0
person,person_0,-7.33,8.00,0,0,97.8
person,person_1,2.30,2.45,0,0,41.3
path,person_1,2.30,2.45,0,0.76,3.0
path,person_1,-3.54,1.95,1,0.76,0.0
path,person_1,-5.34,1.95,2,0.76,0.0
path,person_1,-5.60,-0.37,3,0.76,3.0
path,person_1,-5.34,1.95,4,0.76,0.0
path,person_1,-3.54,1.95,5,0.76,0.0
xdoor,person_1,-4.44,1.95,0.93,S,0
path,person_0,-7.33,8.00,0,1.10,3.0
path,person_0,-8.66,5.16,1,1.10,3.0
path,person_0,-7.13,7.44,2,1.10,3.0
path,person_0,-4.99,5.17,3,1.10,3.0
path,person_0,-7.14,8.37,4,1.10,3.0
