# world seed 20260723005
type,name,x,y,param1,param2,yaw
box,partition_0,4.45,-8.85,0.40,2.30,0
box,partition_1,4.45,-4.83,0.40,4.13,0
door,door_S_A,4.45,-7.30,0.80,x,0
box,partition_2,4.45,-1.70,0.40,2.13,0
box,partition_3,4.45,4.96,0.40,10.08,0
door,door_N_H,4.45,-0.36,0.56,x,0
box,partition_4,-4.82,-2.77,10.36,0.40,0
box,partition_5,2.86,-2.77,3.17,0.40,0
door,door_W_A,0.82,-2.77,0.91,y,0
box,partition_6,5.84,-2.77,2.78,0.40,0
box,partition_7,8.94,-2.77,2.13,0.40,0
door,door_E_H,7.55,-2.77,0.65,y,0
box,rnd_box_0,-4.55,7.33,1.16,0.87,124.6
box,rnd_box_1,-3.95,2.62,2.90,1.08,140.1
box,rnd_box_2,-0.01,5.24,2.81,1.91,72.7
box,rnd_box_3,-3.47,-1.06,1.54,0.50,7.3
box,rnd_box_4,6.82,5.81,1.53,1.61,94.2
box,rnd_box_5,-7.41,1.41,1.75,1.29,14.8
box,rnd_box_6,-0.59,-7.68,2.05,0.54,164.7
box,rnd_box_7,-7.21,6.94,1.10,0.94,76.4
box,rnd_box_8,-5.88,-5.92,2.92,0.90,88.7
box,rnd_box_9,1.89,8.23,1.22,0.92,69.2
box,rnd_box_10,8.07,-6.26,2.94,0.87,112.0
box,rnd_box_11,-2.22,-4.81,2.42,0.65,81.9
cyl,rnd_cyl_0,7.87,2.74,0.79,2.0,0
cyl,rnd_cyl_1,7.99,-0.07,0.64,2.0,0
cyl,rnd_cyl_2,-3.50,-8.21,0.89,2.0,0
cyl,rnd_cyl_3,-7.00,4.50,0.59,2.0,0
cyl,rnd_cyl_4,-1.48,8.44,1.01,2.0,0
cyl,rnd_cyl_5,-3.36,5.52,0.56,2.0,0
person,person_0,2.77,-4.79,0,0,-62.0
path,person_0,2.77,-4.79,0,0.92,3.0
path,person_0,0.82,-3.67,1,0.92,0.0
path,person_0,0.82,-1.87,2,0.92,0.0
path,person_0,1.73,3.06,3,0.92,3.0
path,person_0,0.82,-1.87,4,0.92,0.0
path,person_0,0.82,-3.67,5,0.92,0.0
xdoor,person_0,0.82,-2.77,0.91,W,0
