# world seed 20260723010
type,name,x,y,param1,param2,yaw
box,partition_0,3.68,-9.33,0.40,1.33,0
box,partition_1,3.68,-5.91,0.40,3.95,0
door,door_S_A,3.68,-8.28,0.77,x,0
box,partition_2,3.68,-1.05,0.40,5.77,0
box,partition_3,3.68,6.26,0.40,7.48,0
door,door_N_H,3.68,2.18,0.68,x,0
box,partition_4,-8.06,-3.94,3.87,0.40,0
box,partition_5,-0.80,-3.94,8.96,0.40,0
door,door_W_A,-5.71,-3.94,0.84,y,0
box,partition_6,4.62,-3.94,1.88,0.40,0
box,partition_7,8.03,-3.94,3.94,0.40,0
door,door_E_H,5.81,-3.94,0.50,y,0
box,rnd_box_0,7.34,6.53,2.69,1.17,27.5
box,rnd_box_1,-4.24,-7.31,1.97,1.03,145.0
box,rnd_box_2,-4.50,7.56,1.05,1.68,79.1
box,rnd_box_3,-5.27,0.30,1.55,1.52,101.5
box,rnd_box_4,-7.87,2.54,2.68,1.78,84.1
box,rnd_box_5,1.32,-6.16,1.62,1.21,178.0
box,rnd_box_6,-1.18,3.47,2.19,1.96,23.6
box,rnd_box_7,7.54,-8.19,2.02,1.02,135.3
box,rnd_box_8,7.55,0.11,1.94,0.52,73.9
box,rnd_box_9,1.73,7.70,0.86,1.99,82.8
cyl,rnd_cyl_0,-7.84,-7.29,1.10,2.0,0
cyl,rnd_cyl_1,-8.16,7.36,0.62,2.0,0
cyl,rnd_cyl_2,-1.37,6.62,0.93,2.0,0
cyl,rnd_cyl_3,-8.41,-2.15,0.72,2.0,0
cyl,rnd_cyl_4,-0.60,-7.89,0.88,2.0,0
person,person_0,-5.54,4.97,0,0,48.5
person,person_1,7.82,3.22,0,0,-71.7
person,person_2,-3.21,-1.65,0,0,173.0
path,person_2,-3.21,-1.65,0,0.84,3.0
path,person_2,-5.71,-3.04,1,0.84,0.0
path,person_2,-5.71,-4.84,2,0.84,0.0
path,person_2,-8.56,-5.34,3,0.84,3.0
path,person_2,-5.71,-4.84,4,0.84,0.0
path,person_2,-5.71,-3.04,5,0.84,0.0
xdoor,person_2,-5.71,-3.94,0.84,W,0
path,person_0,-5.54,4.97,0,0.74,3.0
path,person_0,-1.13,0.01,1,0.74,3.0
path,person_1,7.82,3.22,0,0.71,3.0
path,person_1,4.50,6.67,1,0.71,3.0
path,person_1,5.05,3.67,2,0.71,3.0
path,person_1,7.29,2.17,3,0.71,3.0
