# world seed 20260723015
type,name,x,y,param1,param2,yaw
box,partition_0,4.46,-7.49,0.40,5.01,0
box,partition_1,4.46,-3.81,0.40,1.30,0
door,door_S_H,4.46,-4.72,0.53,x,0
box,partition_2,4.46,-0.94,0.40,4.43,0
box,partition_3,4.46,6.10,0.40,7.79,0
door,door_N_A,4.46,1.74,0.94,x,0
box,partition_4,-8.95,-3.16,2.10,0.40,0
box,partition_5,-1.30,-3.16,11.52,0.40,0
door,door_W_A,-7.48,-3.16,0.84,y,0
box,partition_6,5.43,-3.16,1.93,0.40,0
box,partition_7,8.54,-3.16,2.92,0.40,0
door,door_E_H,6.74,-3.16,0.68,y,0
box,rnd_box_0,-1.97,-5.42,2.82,1.02,127.6
box,rnd_box_1,0.36,5.74,2.13,1.12,12.6
box,rnd_box_2,-1.70,2.75,2.12,0.93,168.0
box,rnd_box_3,7.59,6.89,2.83,0.52,82.2
box,rnd_box_4,-3.85,5.74,1.32,1.74,22.5
box,rnd_box_5,-6.58,7.73,1.65,1.97,7.8
box,rnd_box_6,-6.81,3.22,2.33,1.74,124.7
box,rnd_box_7,-6.01,-8.24,2.86,1.91,64.2
box,rnd_box_8,6.63,-6.90,1.55,1.61,79.5
box,rnd_box_9,-4.88,-0.16,2.75,1.80,41.8
cyl,rnd_cyl_0,7.98,1.54,1.12,2.0,0
cyl,rnd_cyl_1,0.22,-8.20,0.84,2.0,0
cyl,rnd_cyl_2,2.50,-1.44,0.58,2.0,0
cyl,rnd_cyl_3,-8.28,-0.17,0.84,2.0,0
person,person_0,2.49,3.78,0,0,111.3
person,person_1,-1.91,8.01,0,0,55.8
path,person_0,2.49,3.78,0,1.01,3.0
path,person_0,3.56,1.74,1,1.01,0.0
path,person_0,5.36,1.74,2,1.01,0.0
path,person_0,6.46,4.02,3,1.01,3.0
path,person_0,5.36,1.74,4,1.01,0.0
path,person_0,3.56,1.74,5,1.01,0.0
xdoor,person_0,4.46,1.74,0.94,N,0
path,person_1,-1.91,8.01,0,1.08,3.0
path,person_1,3.13,7.41,1,1.08,3.0
