# world seed 20260723001
type,name,x,y,param1,param2,yaw
box,partition_0,4.69,-9.30,0.40,1.40,0
box,partition_1,4.69,-5.32,0.40,4.97,0
door,door_S_A,4.69,-8.20,0.79,x,0
box,partition_2,4.69,1.98,0.40,9.64,0
box,partition_3,4.69,8.73,0.40,2.53,0
door,door_N_H,4.69,7.13,0.67,x,0
box,partition_4,-6.88,-2.84,6.24,0.40,0
box,partition_5,0.74,-2.84,7.90,0.40,0
door,door_W_H,-3.49,-2.84,0.55,y,0
box,partition_6,5.68,-2.84,1.98,0.40,0
box,partition_7,8.78,-2.84,2.45,0.40,0
door,door_E_A,7.11,-2.84,0.89,y,0
box,rnd_box_0,-5.21,0.47,1.07,0.82,154.9
box,rnd_box_1,-7.62,8.09,1.42,0.85,43.1
box,rnd_box_2,-1.74,5.36,2.74,1.74,114.5
box,rnd_box_3,8.22,4.72,1.48,1.24,53.4
box,rnd_box_4,-4.74,5.45,0.85,0.50,53.0
box,rnd_box_5,2.41,3.55,2.07,1.34,103.2
box,rnd_box_6,-7.06,-6.29,2.78,0.89,65.4
box,rnd_box_7,0.00,-6.15,2.95,1.45,44.7
box,rnd_box_8,0.91,7.52,1.78,0.88,90.8
box,rnd_box_9,-8.47,-0.15,2.61,1.91,172.4
box,rnd_box_10,-6.36,3.94,1.45,0.59,142.1
box,rnd_box_11,-2.13,2.19,0.98,0.94,92.3
cyl,rnd_cyl_0,-3.98,-8.12,0.54,2.0,0
cyl,rnd_cyl_1,8.34,-7.47,1.06,2.0,0
cyl,rnd_cyl_2,3.08,0.75,0.50,2.0,0
cyl,rnd_cyl_3,-8.23,5.72,0.47,2.0,0
cyl,rnd_cyl_4,7.69,1.02,0.98,2.0,0
person,person_0,-3.54,-5.93,0,0,143.0
person,person_1,-3.88,7.80,0,0,-81.3
path,person_0,-3.54,-5.93,0,1.00,3.0
path,person_0,-3.49,-3.74,1,1.00,0.0
path,person_0,-3.49,-1.94,2,1.00,0.0
path,person_0,-1.03,-1.22,3,1.00,3.0
path,person_0,-3.49,-1.94,4,1.00,0.0
path,person_0,-3.49,-3.74,5,1.00,0.0
xdoor,person_0,-3.49,-2.84,0.55,W,0
path,person_1,-3.88,7.80,0,0.93,3.0
path,person_1,-8.24,4.38,1,0.93,3.0
path,person_1,-4.93,7.73,2,0.93,3.0
path,person_1,-7.84,4.53,3,0.93,3.0
