# world seed 20260723003
type,name,x,y,param1,param2,yaw
box,partition_0,-4.57,-7.84,0.40,4.32,0
box,partition_1,-4.57,-0.79,0.40,7.88,0
door,door_S_A,-4.57,-5.20,0.95,x,0
box,partition_2,-4.57,3.81,0.40,1.33,0
box,partition_3,-4.57,7.50,0.40,5.00,0
door,door_N_H,-4.57,4.74,0.52,x,0
box,partition_4,-8.75,3.15,2.51,0.40,0
box,partition_5,-5.75,3.15,2.37,0.40,0
door,door_W_H,-7.22,3.15,0.56,y,0
box,partition_6,0.61,3.15,10.34,0.40,0
box,partition_7,8.28,3.15,3.43,0.40,0
door,door_E_A,6.17,3.15,0.79,y,0
box,rnd_box_0,-0.39,-7.66,2.85,0.77,64.8
box,rnd_box_1,-7.75,-5.04,1.95,0.77,3.9
box,rnd_box_2,6.49,7.43,2.27,1.63,89.2
box,rnd_box_3,-8.26,6.05,1.42,1.11,87.1
box,rnd_box_4,4.53,-3.81,1.39,1.08,83.5
box,rnd_box_5,7.29,-3.10,1.93,1.41,178.2
box,rnd_box_6,1.27,6.50,2.97,1.87,15.5
box,rnd_box_7,7.70,-8.49,2.84,1.81,55.9
box,rnd_box_8,-6.79,-1.91,2.08,0.73,49.7
cyl,rnd_cyl_0,0.18,-3.76,1.27,2.0,0
cyl,rnd_cyl_1,8.20,0.09,1.27,2.0,0
cyl,rnd_cyl_2,3.67,-0.30,1.27,2.0,0
cyl,rnd_cyl_3,-2.49,7.46,1.27,2.0,0
person,person_0,3.76,-7.65,0,0,-145.8
person,person_1,-6.47,-7.72,0,0,157.8
person,person_2,8.49,4.94,0,0,-94.1
path,person_1,-6.47,-7.72,0,0.97,3.0
path,person_1,-5.47,-5.20,1,0.97,0.0
path,person_1,-3.67,-5.20,2,0.97,0.0
path,person_1,-2.42,-7.03,3,0.97,3.0
path,person_1,-3.67,-5.20,4,0.97,0.0
path,person_1,-5.47,-5.20,5,0.97,0.0
xdoor,person_1,-4.57,-5.20,0.95,S,0
path,person_0,3.76,-7.65,0,0.96,3.0
path,person_0,5.51,-4.90,1,0.96,3.0
path,person_0,2.14,-7.41,2,0.96,3.0
path,person_0,5.45,-7.86,3,0.96,3.0
path,person_2,8.49,4.94,0,0.94,3.0
path,person_2,4.63,5.77,1,0.94,3.0
path,person_2,1.68,3.66,2,0.94,3.0
