# world seed 20260723022
type,name,x,y,param1,param2,yaw
box,partition_0,2.36,-7.32,0.40,5.36,0
box,partition_1,2.36,-0.10,0.40,7.19,0
door,door_S_A,2.36,-4.16,0.95,x,0
box,partition_2,2.36,5.60,0.40,4.20,0
box,partition_3,2.36,9.11,0.40,1.79,0
door,door_N_H,2.36,7.96,0.51,x,0
box,partition_4,-9.14,3.50,1.72,0.40,0
box,partition_5,-2.68,3.50,10.07,0.40,0
door,door_W_H,-8.00,3.50,0.57,y,0
box,partition_6,4.54,3.50,4.37,0.40,0
box,partition_7,8.75,3.50,2.49,0.40,0
door,door_E_A,7.12,3.50,0.78,y,0
box,rnd_box_0,-8.06,-1.59,1.11,1.98,177.0
box,rnd_box_1,-3.18,-2.73,2.25,1.16,149.5
box,rnd_box_2,7.94,-4.70,1.70,1.61,25.2
box,rnd_box_3,0.22,-8.45,1.83,0.96,129.0
box,rnd_box_4,-7.11,-6.57,1.43,1.14,135.0
box,rnd_box_5,-2.74,5.79,2.45,1.74,139.8
box,rnd_box_6,6.92,-8.17,1.60,1.13,43.9
box,rnd_box_7,5.21,0.00,1.79,0.59,54.0
box,rnd_box_8,4.32,-6.57,2.13,0.98,121.8
box,rnd_box_9,-4.06,-5.83,0.87,0.93,120.5
cyl,rnd_cyl_0,0.46,5.60,0.90,2.0,0
cyl,rnd_cyl_1,-6.85,6.77,0.97,2.0,0
cyl,rnd_cyl_2,5.53,6.59,0.82,2.0,0
cyl,rnd_cyl_3,7.36,-1.08,0.67,2.0,0
cyl,rnd_cyl_4,-1.76,-7.21,0.59,2.0,0
cyl,rnd_cyl_5,-3.44,1.29,1.33,2.0,0
person,person_0,-4.17,-8.37,0,0,70.9
person,person_1,5.30,-3.01,0,0,82.1
person,person_2,8.36,6.16,0,0,28.6
path,person_1,5.30,-3.01,0,0.86,3.0
path,person_1,3.26,-4.16,1,0.86,0.0
path,person_1,1.46,-4.16,2,0.86,0.0
path,person_1,0.07,-6.65,3,0.86,3.0
path,person_1,1.46,-4.16,4,0.86,0.0
path,person_1,3.26,-4.16,5,0.86,0.0
xdoor,person_1,2.36,-4.16,0.95,S,0
path,person_0,-4.17,-8.37,0,0.87,3.0
path,person_0,-1.31,-8.37,1,0.87,3.0
path,person_0,-6.06,-8.29,2,0.87,3.0
path,person_2,8.36,6.16,0,0.82,3.0
path,person_2,5.11,4.55,1,0.82,3.0
path,person_2,7.77,6.16,2,0.82,3.0
path,person_2,5.21,8.72,3,0.82,3.0
