# world seed 20260723013
type,name,x,y,param1,param2,yaw
box,partition_0,3.88,-8.97,0.40,2.07,0
box,partition_1,3.88,-5.56,0.40,3.59,0
door,door_S_H,3.88,-7.64,0.57,x,0
box,partition_2,3.88,0.93,0.40,9.40,0
box,partition_3,3.88,8.18,0.40,3.63,0
door,door_N_A,3.88,6.00,0.74,x,0
box,partition_4,-8.77,-3.77,2.45,0.40,0
box,partition_5,-1.47,-3.77,10.69,0.40,0
door,door_W_H,-7.18,-3.77,0.73,y,0
box,partition_6,4.45,-3.77,1.15,0.40,0
box,partition_7,7.98,-3.77,4.03,0.40,0
door,door_E_A,5.50,-3.77,0.94,y,0
box,rnd_box_0,-1.48,3.16,2.39,1.61,123.9
box,rnd_box_1,-6.39,5.23,2.21,1.36,80.6
box,rnd_box_2,-4.63,8.43,1.97,0.88,169.7
box,rnd_box_3,-0.46,-6.93,2.47,0.67,68.6
box,rnd_box_4,0.30,7.04,2.82,1.50,129.2
box,rnd_box_5,7.89,4.45,2.77,0.56,69.3
box,rnd_box_6,7.62,-0.26,2.57,0.53,65.3
box,rnd_box_7,-7.66,-0.33,2.56,1.16,1.5
box,rnd_box_8,-4.07,-7.34,2.65,1.58,55.5
box,rnd_box_9,2.04,2.88,1.97,0.82,122.9
cyl,rnd_cyl_0,7.41,8.18,0.98,2.0,0
cyl,rnd_cyl_1,-4.35,1.80,0.93,2.0,0
cyl,rnd_cyl_2,-8.45,3.05,0.92,2.0,0
cyl,rnd_cyl_3,7.25,-7.77,1.06,2.0,0
person,person_0,-7.36,-7.46,0,0,31.6
person,person_1,-7.70,8.44,0,0,-85.7
person,person_2,-3.31,-1.60,0,0,116.4
path,person_0,-7.36,-7.46,0,0.97,3.0
path,person_0,-7.18,-4.67,1,0.97,0.0
path,person_0,-7.18,-2.87,2,0.97,0.0
path,person_0,-2.94,-1.66,3,0.97,3.0
path,person_0,-7.18,-2.87,4,0.97,0.0
path,person_0,-7.18,-4.67,5,0.97,0.0
xdoor,person_0,-7.18,-3.77,0.73,W,0
path,person_1,-7.70,8.44,0,1.08,3.0
path,person_1,-4.98,6.78,1,1.08,3.0
path,person_2,-3.31,-1.60,0,0.84,3.0
path,person_2,-2.56,1.08,1,0.84,3.0
path,person_2,0.18,0.57,2,0.84,3.0
path,person_2,-3.54,-0.37,3,0.84,3.0
path,person_2,-6.38,-3.06,4,0.84,3.0
