# world seed 20260723018
type,name,x,y,param1,param2,yaw
box,partition_0,2.63,-8.99,0.40,2.01,0
box,partition_1,2.63,-2.29,0.40,10.39,0
door,door_S_H,2.63,-7.74,0.51,x,0
box,partition_2,2.63,4.64,0.40,3.46,0
box,partition_3,2.63,8.59,0.40,2.81,0
door,door_N_A,2.63,6.78,0.82,x,0
box,partition_4,-7.46,2.91,5.07,0.40,0
box,partition_5,-0.81,2.91,6.89,0.40,0
door,door_W_H,-4.59,2.91,0.67,y,0
box,partition_6,3.58,2.91,1.89,0.40,0
box,partition_7,7.67,2.91,4.67,0.40,0
door,door_E_A,4.93,2.91,0.81,y,0
box,rnd_box_0,-2.59,6.79,2.27,1.49,172.2
box,rnd_box_1,-4.13,-2.71,2.61,1.21,29.8
box,rnd_box_2,-3.40,-5.94,0.93,1.70,175.1
box,rnd_box_3,-7.07,7.41,1.66,1.94,9.0
box,rnd_box_4,6.60,-4.48,1.33,2.00,110.5
box,rnd_box_5,7.38,-8.14,0.95,0.99,46.3
box,rnd_box_6,-8.26,-7.01,2.71,0.90,176.6
box,rnd_box_7,5.12,-0.52,2.44,1.74,112.4
box,rnd_box_8,-7.90,-1.97,0.85,1.10,163.6
box,rnd_box_9,6.45,5.84,1.73,1.29,95.6
box,rnd_box_11,-0.13,-5.52,1.86,1.13,128.5
cyl,rnd_cyl_0,5.11,-7.47,0.40,2.0,0
cyl,rnd_cyl_1,6.98,8.36,0.71,2.0,0
cyl,rnd_cyl_2,0.26,5.10,0.97,2.0,0
cyl,rnd_cyl_3,-5.47,-8.44,0.88,2.0,0
cyl,rnd_cyl_4,-2.29,-8.45,1.02,2.0,0
person,person_0,-7.36,0.28,0,0,156.3
person,person_1,8.38,0.98,0,0,-38.5
path,person_1,8.38,0.98,0,0.79,3.0
path,person_1,4.93,2.01,1,0.79,0.0
path,person_1,4.93,3.81,2,0.79,0.0
path,person_1,8.41,3.96,3,0.79,3.0
path,person_1,4.93,3.81,4,0.79,0.0
path,person_1,4.93,2.01,5,0.79,0.0
xdoor,person_1,4.93,2.91,0.81,E,0
path,person_0,-7.36,0.28,0,1.07,3.0
path,person_0,-1.57,-1.46,1,1.07,3.0
path,person_0,-3.17,1.66,2,1.07,3.0
path,person_0,1.57,-0.46,3,1.07,3.0
