# world seed 20260723004
type,name,x,y,param1,param2,yaw
box,partition_0,-3.15,-8.52,0.40,2.96,0
box,partition_1,-3.15,-5.61,0.40,1.73,0
door,door_S_H,-3.15,-6.76,0.56,x,0
box,partition_2,-3.15,-0.29,0.40,8.91,0
box,partition_3,-3.15,7.50,0.40,4.99,0
door,door_N_A,-3.15,4.59,0.83,x,0
box,partition_4,-7.43,-4.74,5.14,0.40,0
box,partition_5,-3.65,-4.74,1.01,0.40,0
door,door_W_H,-4.51,-4.74,0.70,y,0
box,partition_6,-2.21,-4.74,1.88,0.40,0
box,partition_7,4.76,-4.74,10.48,0.40,0
door,door_E_A,-0.87,-4.74,0.78,y,0
box,rnd_box_0,5.37,4.20,2.78,1.86,90.9
box,rnd_box_1,-8.27,1.00,2.73,1.25,175.9
box,rnd_box_2,-7.14,-7.53,2.40,1.90,69.3
box,rnd_box_3,-6.97,6.52,2.02,1.16,26.4
box,rnd_box_4,4.11,-1.89,2.89,0.98,101.3
box,rnd_box_5,0.83,5.36,2.70,1.52,167.8
box,rnd_box_6,3.21,-6.97,1.67,1.55,67.7
box,rnd_box_7,8.32,-6.83,2.34,0.69,150.4
cyl,rnd_cyl_0,6.10,1.19,0.73,2.0,0
cyl,rnd_cyl_1,-5.50,3.29,0.52,2.0,0
cyl,rnd_cyl_2,4.99,7.82,0.58,2.0,0
cyl,rnd_cyl_3,8.38,2.31,1.01,2.0,0
cyl,rnd_cyl_4,-6.05,-1.68,0.74,2.0,0
person,person_0,7.65,-1.32,0,0,125.3
person,person_1,-0.30,-8.44,0,0,-113.5
person,person_2,8.22,6.96,0,0,34.0
path,person_0,7.65,-1.32,0,1.16,3.0
path,person_0,-2.25,4.59,1,1.16,0.0
path,person_0,-4.05,4.59,2,1.16,0.0
path,person_0,-3.70,8.24,3,1.16,3.0
path,person_0,-4.05,4.59,4,1.16,0.0
path,person_0,-2.25,4.59,5,1.16,0.0
xdoor,person_0,-3.15,4.59,0.83,N,0
path,person_1,-0.30,-8.44,0,1.01,3.0
path,person_1,-1.53,-5.32,1,1.01,3.0
path,person_1,-0.48,-7.82,2,1.01,3.0
path,person_1,2.08,-5.79,3,1.01,3.0
path,person_2,8.22,6.96,0,1.19,3.0
path,person_2,8.20,4.09,1,1.19,3.0
path,person_2,7.78,8.47,2,1.19,3.0
