# world seed 505908
type,name,x,y,param1,param2,yaw
box,partition_0,-2.79,-9.24,0.40,1.52,0
box,partition_1,-2.79,-1.90,0.40,11.81,0
door,door_S_H,-2.79,-8.14,0.67,x,0
box,partition_2,-2.79,4.53,0.40,1.06,0
box,partition_3,-2.79,7.96,0.40,4.08,0
door,door_N_A,-2.79,5.49,0.86,x,0
box,partition_4,-7.41,4.00,5.19,0.40,0
box,partition_5,-3.50,4.00,1.42,0.40,0
door,door_W_H,-4.51,4.00,0.61,y,0
box,partition_6,-1.35,4.00,2.88,0.40,0
box,partition_7,5.45,4.00,9.11,0.40,0
door,door_E_A,0.49,4.00,0.80,y,0
box,rnd_box_0,0.74,7.96,1.62,0.94,62.5
box,rnd_box_1,3.98,-7.50,2.15,1.03,60.7
box,rnd_box_2,8.33,-0.40,2.20,1.81,134.8
box,rnd_box_3,5.88,-2.69,2.02,0.57,163.4
box,rnd_box_4,4.55,0.40,2.55,1.23,10.2
box,rnd_box_5,7.72,6.58,2.77,1.63,74.2
box,rnd_box_6,3.95,8.40,1.43,1.36,79.3
box,rnd_box_7,7.13,-5.98,1.52,1.40,138.0
box,rnd_box_8,-7.30,-3.05,2.11,1.27,40.4
box,rnd_box_9,-5.45,0.12,2.01,1.84,170.9
box,rnd_box_10,-8.48,-6.55,2.86,1.12,137.7
box,rnd_box_11,0.40,-4.97,2.35,1.76,94.6
cyl,rnd_cyl_0,-7.86,6.38,0.80,2.0,0
cyl,rnd_cyl_1,-8.26,1.90,1.12,2.0,0
cyl,rnd_cyl_2,-5.05,8.08,1.40,2.0,0
cyl,rnd_cyl_3,3.79,5.57,0.75,2.0,0
cyl,rnd_cyl_4,7.51,2.49,0.63,2.0,0
person,person_0,2.89,-2.55,0,0,88.3
person,person_1,-4.68,-5.04,0,0,-173.7
person,person_2,0.75,-8.36,0,0,10.6
