# world seed 20260723024
type,name,x,y,param1,param2,yaw
box,partition_0,-3.95,-7.66,0.40,4.68,0
box,partition_1,-3.95,-4.05,0.40,1.49,0
door,door_S_H,-3.95,-5.05,0.52,x,0
box,partition_2,-3.95,0.40,0.40,7.41,0
box,partition_3,-3.95,7.41,0.40,5.17,0
door,door_N_A,-3.95,4.46,0.72,x,0
box,partition_4,-9.47,-3.31,1.05,0.40,0
box,partition_5,-6.02,-3.31,4.15,0.40,0
door,door_W_A,-8.52,-3.31,0.85,y,0
box,partition_6,-1.61,-3.31,4.67,0.40,0
box,partition_7,5.70,-3.31,8.60,0.40,0
door,door_E_H,1.06,-3.31,0.67,y,0
box,rnd_box_0,-7.58,-7.05,1.08,0.83,148.0
box,rnd_box_1,-7.77,3.28,2.26,1.06,24.6
box,rnd_box_2,2.87,-6.51,1.71,1.83,104.3
box,rnd_box_3,1.88,7.20,2.20,1.93,35.4
box,rnd_box_4,6.69,6.14,1.91,1.40,134.9
box,rnd_box_5,8.22,-6.08,2.90,1.93,125.8
box,rnd_box_6,5.46,-1.60,1.76,0.56,34.5
box,rnd_box_7,6.44,2.19,2.98,1.95,127.7
box,rnd_box_8,-0.25,3.25,2.00,0.52,22.5
box,rnd_box_9,-6.09,8.19,2.08,1.84,35.8
box,rnd_box_10,-1.70,-7.17,0.87,1.82,42.5
box,rnd_box_11,-6.48,-0.77,2.54,0.86,76.5
cyl,rnd_cyl_0,2.76,3.17,0.89,2.0,0
cyl,rnd_cyl_1,4.92,8.42,0.89,2.0,0
cyl,rnd_cyl_2,-1.15,6.93,0.84,2.0,0
person,person_1,3.18,0.29,0,0,-158.2
person,person_2,8.20,-1.00,0,0,-174.2
path,person_1,3.18,0.29,0,0.97,3.0
path,person_1,1.06,-2.41,1,0.97,0.0
path,person_1,1.06,-4.21,2,0.97,0.0
path,person_1,3.89,-4.71,3,0.97,3.0
path,person_1,1.06,-4.21,4,0.97,0.0
path,person_1,1.06,-2.41,5,0.97,0.0
xdoor,person_1,1.06,-3.31,0.67,E,0
path,person_2,8.20,-1.00,0,1.04,3.0
path,person_2,5.34,-0.11,1,1.04,3.0
