# world seed 20260723019
type,name,x,y,param1,param2,yaw
box,partition_0,3.49,-8.57,0.40,2.87,0
box,partition_1,3.49,-5.30,0.40,2.55,0
door,door_S_H,3.49,-6.85,0.56,x,0
box,partition_2,3.49,-2.04,0.40,3.98,0
box,partition_3,3.49,5.35,0.40,9.31,0
door,door_N_A,3.49,0.32,0.74,x,0
box,partition_4,-7.23,-4.03,5.54,0.40,0
box,partition_5,-0.15,-4.03,7.30,0.40,0
door,door_W_H,-4.13,-4.03,0.65,y,0
box,partition_6,5.04,-4.03,3.10,0.40,0
box,partition_7,8.68,-4.03,2.64,0.40,0
door,door_E_A,6.98,-4.03,0.77,y,0
box,rnd_box_0,6.59,4.89,1.30,1.55,24.4
box,rnd_box_1,-8.07,1.05,0.85,1.72,160.0
box,rnd_box_2,7.75,0.25,2.03,1.56,56.0
box,rnd_box_3,0.07,5.40,0.83,1.76,144.9
box,rnd_box_4,8.19,8.25,1.00,1.47,169.7
box,rnd_box_5,-6.37,-8.49,2.86,1.18,112.6
box,rnd_box_6,-0.10,8.37,1.93,1.21,71.2
box,rnd_box_7,-5.19,7.92,1.68,1.34,60.6
box,rnd_box_8,-1.84,-6.36,2.23,1.30,18.1
cyl,rnd_cyl_0,-7.67,4.30,1.30,2.0,0
cyl,rnd_cyl_1,-3.18,4.25,0.75,2.0,0
cyl,rnd_cyl_2,-6.06,-2.35,0.62,2.0,0
cyl,rnd_cyl_3,6.93,-7.97,1.38,2.0,0
person,person_0,-4.37,1.64,0,0,127.9
person,person_1,-8.42,8.41,0,0,-171.5
person,person_2,-2.78,-1.57,0,0,-47.1
path,person_0,-4.37,1.64,0,0.96,3.0
path,person_0,2.59,0.32,1,0.96,0.0
path,person_0,4.39,0.32,2,0.96,0.0
path,person_0,6.52,1.72,3,0.96,3.0
path,person_0,4.39,0.32,4,0.96,0.0
path,person_0,2.59,0.32,5,0.96,0.0
xdoor,person_0,3.49,0.32,0.74,N,0
path,person_1,-8.42,8.41,0,0.72,3.0
path,person_1,-6.31,6.19,1,0.72,3.0
path,person_2,-2.78,-1.57,0,0.95,3.0
path,person_2,1.11,-2.37,1,0.95,3.0
path,person_2,-1.15,2.97,2,0.95,3.0
path,person_2,0.46,0.78,3,0.95,3.0
