# world seed 20260723009
type,name,x,y,param1,param2,yaw
box,partition_0,-4.61,-9.15,0.40,1.70,0
box,partition_1,-4.61,-6.13,0.40,2.61,0
door,door_S_A,-4.61,-7.87,0.87,x,0
box,partition_2,-4.61,0.21,0.40,10.06,0
box,partition_3,-4.61,7.92,0.40,4.16,0
door,door_N_H,-4.61,5.54,0.61,x,0
box,partition_4,-8.73,-4.82,2.55,0.40,0
box,partition_5,-5.56,-4.82,1.91,0.40,0
door,door_W_A,-6.98,-4.82,0.94,y,0
box,partition_6,-1.47,-4.82,6.27,0.40,0
box,partition_7,6.22,-4.82,7.57,0.40,0
door,door_E_H,2.05,-4.82,0.77,y,0
box,rnd_box_0,5.90,5.91,1.60,1.21,114.2
box,rnd_box_1,6.09,-0.80,2.61,1.63,116.1
box,rnd_box_2,0.50,7.15,1.66,1.55,20.4
box,rnd_box_3,8.07,2.60,2.71,1.66,103.1
box,rnd_box_4,-6.21,1.37,1.08,1.19,115.5
box,rnd_box_5,-8.33,3.35,2.18,1.48,127.9
box,rnd_box_6,2.96,3.21,2.85,1.22,2.6
box,rnd_box_7,0.23,-7.95,2.59,0.91,7.0
box,rnd_box_8,-7.56,-8.06,0.92,1.28,33.2
cyl,rnd_cyl_0,-0.60,3.57,0.91,2.0,0
cyl,rnd_cyl_1,-7.26,-1.56,1.27,2.0,0
cyl,rnd_cyl_2,3.30,-2.10,0.58,2.0,0
cyl,rnd_cyl_3,5.72,-8.21,0.69,2.0,0
person,person_0,8.49,-6.96,0,0,56.2
person,person_1,-7.71,7.86,0,0,-26.3
person,person_2,-2.18,-2.90,0,0,75.2
path,person_0,8.49,-6.96,0,0.90,3.0
path,person_0,2.05,-5.72,1,0.90,0.0
path,person_0,2.05,-3.92,2,0.90,0.0
path,person_0,-3.33,-4.09,3,0.90,3.0
path,person_0,2.05,-3.92,4,0.90,0.0
path,person_0,2.05,-5.72,5,0.90,0.0
xdoor,person_0,2.05,-4.82,0.77,E,0
path,person_1,-7.71,7.86,0,1.12,3.0
path,person_1,-5.11,7.62,1,1.12,3.0
path,person_1,-7.78,6.64,2,1.12,3.0
path,person_1,-5.78,4.10,3,1.12,3.0
path,person_2,-2.18,-2.90,0,1.18,3.0
path,person_2,-0.13,-0.64,1,1.18,3.0
path,person_2,-2.87,2.12,2,1.18,3.0
path,person_2,-3.89,-2.57,3,1.18,3.0
