# world seed 20260723006
type,name,x,y,param1,param2,yaw
box,partition_0,-4.02,-5.56,0.40,8.88,0
box,partition_1,-4.02,1.62,0.40,3.88,0
door,door_S_A,-4.02,-0.72,0.80,x,0
box,partition_2,-4.02,5.36,0.40,3.61,0
box,partition_3,-4.02,8.97,0.40,2.06,0
door,door_N_H,-4.02,7.55,0.77,x,0
box,partition_4,-7.84,3.56,4.33,0.40,0
box,partition_5,-4.50,3.56,0.95,0.40,0
door,door_W_H,-5.32,3.56,0.70,y,0
box,partition_6,1.03,3.56,10.10,0.40,0
box,partition_7,8.48,3.56,3.04,0.40,0
door,door_E_A,6.52,3.56,0.88,y,0
box,rnd_box_0,7.73,-5.24,1.30,0.53,94.5
box,rnd_box_1,2.22,8.37,2.74,1.23,41.4
box,rnd_box_2,-8.01,0.33,2.80,1.80,177.3
box,rnd_box_3,6.84,-0.84,2.89,1.12,30.7
box,rnd_box_4,-8.07,6.18,1.72,1.19,123.2
box,rnd_box_5,1.46,-6.58,1.25,1.00,35.0
box,rnd_box_6,-6.66,-4.51,1.20,1.64,96.3
box,rnd_box_7,3.98,-8.44,2.83,0.86,108.4
box,rnd_box_8,-1.03,-5.86,0.83,1.72,41.6
box,rnd_box_9,4.74,-4.55,2.37,1.77,65.5
box,rnd_box_10,7.97,7.16,2.94,0.78,4.5
cyl,rnd_cyl_0,-1.20,8.42,0.95,2.0,0
cyl,rnd_cyl_1,0.77,-4.32,0.52,2.0,0
cyl,rnd_cyl_2,-0.29,5.46,1.05,2.0,0
cyl,rnd_cyl_3,-1.91,-2.32,0.70,2.0,0
person,person_0,-6.31,-7.56,0,0,26.0
person,person_1,3.28,1.42,0,0,57.5
person,person_2,8.48,-7.95,0,0,-158.0
path,person_1,3.28,1.42,0,1.10,3.0
path,person_1,6.52,2.66,1,1.10,0.0
path,person_1,6.52,4.46,2,1.10,0.0
path,person_1,3.93,4.14,3,1.10,3.0
path,person_1,6.52,4.46,4,1.10,0.0
path,person_1,6.52,2.66,5,1.10,0.0
xdoor,person_1,6.52,3.56,0.88,E,0
path,person_0,-6.31,-7.56,0,0.70,3.0
path,person_0,-8.55,-5.58,1,0.70,3.0
path,person_2,8.48,-7.95,0,0.94,3.0
path,person_2,6.28,-6.10,1,0.94,3.0
path,person_2,8.63,-8.59,2,0.94,3.0
path,person_2,4.55,-6.51,3,0.94,3.0
path,person_2,8.32,-8.01,4,0.94,3.0
