# world seed 659927
type,name,x,y,param1,param2,yaw
box,partition_0,2.54,-6.18,0.40,7.64,0
box,partition_1,2.54,0.52,0.40,4.71,0
door,door_S_H,2.54,-2.10,0.53,x,0
box,partition_2,2.54,4.18,0.40,2.62,0
box,partition_3,2.54,8.21,0.40,3.59,0
door,door_N_A,2.54,5.95,0.92,x,0
box,partition_4,-5.28,2.87,9.44,0.40,0
box,partition_5,1.44,2.87,2.19,0.40,0
door,door_W_A,-0.10,2.87,0.90,y,0
box,partition_6,3.69,2.87,2.31,0.40,0
box,partition_7,7.70,2.87,4.59,0.40,0
door,door_E_H,5.13,2.87,0.56,y,0
box,rnd_box_0,5.48,-7.18,2.62,0.97,67.7
box,rnd_box_1,-8.13,-2.80,2.60,0.81,133.3
box,rnd_box_2,-0.75,-3.73,2.96,1.72,105.6
box,rnd_box_3,-1.37,7.37,3.00,0.79,121.7
box,rnd_box_4,-3.02,0.79,1.61,1.14,27.2
box,rnd_box_5,8.05,6.80,1.54,1.92,87.2
box,rnd_box_6,-8.26,-7.63,2.58,0.64,47.2
box,rnd_box_7,5.73,-1.56,2.40,1.15,62.2
box,rnd_box_8,-2.41,-7.49,2.18,1.62,176.1
box,rnd_box_9,-4.21,5.79,1.55,0.81,147.2
box,rnd_box_10,-7.54,5.41,2.84,0.74,6.7
cyl,rnd_cyl_0,-4.97,-2.40,1.00,2.0,0
cyl,rnd_cyl_1,8.44,-3.77,1.27,2.0,0
cyl,rnd_cyl_2,-5.79,-5.71,0.68,2.0,0
cyl,rnd_cyl_3,3.99,-4.81,0.61,2.0,0
person,person_0,-5.95,0.19,0,0,152.5
person,person_1,0.91,-6.61,0,0,-145.7
person,person_2,8.11,0.66,0,0,162.1
path,person_2,8.11,0.66,0,1.20,3.0
path,person_2,5.13,1.97,1,1.20,0.0
path,person_2,5.13,3.77,2,1.20,0.0
path,person_2,4.53,8.42,3,1.20,3.0
path,person_2,5.13,3.77,4,1.20,0.0
path,person_2,5.13,1.97,5,1.20,0.0
xdoor,person_2,5.13,2.87,0.56,E,0
path,person_0,-5.95,0.19,0,0.76,3.0
path,person_0,-8.79,-0.36,1,0.76,3.0
path,person_0,-5.10,-0.89,2,0.76,3.0
path,person_0,-1.76,-1.12,3,0.76,3.0
path,person_1,0.91,-6.61,0,0.86,3.0
path,person_1,1.86,-2.85,1,0.86,3.0
path,person_1,0.12,-8.79,2,0.86,3.0
path,person_1,0.16,-6.28,3,0.86,3.0
