# world seed 20260723017
type,name,x,y,param1,param2,yaw
box,partition_0,-4.06,-8.45,0.40,3.11,0
box,partition_1,-4.06,-5.20,0.40,1.63,0
door,door_S_A,-4.06,-6.45,0.88,x,0
box,partition_2,-4.06,0.29,0.40,9.34,0
box,partition_3,-4.06,7.87,0.40,4.26,0
door,door_N_H,-4.06,5.35,0.78,x,0
box,partition_4,-9.13,-4.38,1.74,0.40,0
box,partition_5,-5.76,-4.38,3.41,0.40,0
door,door_W_A,-7.86,-4.38,0.79,y,0
box,partition_6,-0.77,-4.38,6.57,0.40,0
box,partition_7,6.62,-4.38,6.75,0.40,0
door,door_E_H,2.88,-4.38,0.74,y,0
box,rnd_box_0,-6.95,7.78,2.37,1.97,104.4
box,rnd_box_1,-1.27,8.37,1.65,1.27,44.5
box,rnd_box_2,-5.96,-1.37,1.05,1.16,85.2
box,rnd_box_3,6.99,4.46,2.94,1.30,34.3
box,rnd_box_4,3.07,4.12,2.13,0.77,45.6
box,rnd_box_5,-8.18,2.63,1.65,1.70,58.4
box,rnd_box_6,4.17,-7.84,2.23,1.01,112.5
box,rnd_box_7,4.50,0.42,1.01,1.74,89.4
box,rnd_box_8,7.15,-6.84,1.34,1.87,108.2
box,rnd_box_9,8.31,0.59,1.59,0.95,72.7
cyl,rnd_cyl_0,0.16,-6.54,1.38,2.0,0
cyl,rnd_cyl_1,-1.03,5.32,0.83,2.0,0
cyl,rnd_cyl_2,4.94,7.69,1.31,2.0,0
cyl,rnd_cyl_3,-1.95,2.84,1.07,2.0,0
person,person_0,-8.46,-0.67,0,0,113.6
person,person_1,6.29,-1.92,0,0,130.0
person,person_2,-6.91,-8.18,0,0,-134.1
path,person_2,-6.91,-8.18,0,0.83,3.0
path,person_2,-4.96,-6.45,1,0.83,0.0
path,person_2,-3.16,-6.45,2,0.83,0.0
path,person_2,-0.97,-8.01,3,0.83,3.0
path,person_2,-3.16,-6.45,4,0.83,0.0
path,person_2,-4.96,-6.45,5,0.83,0.0
xdoor,person_2,-4.06,-6.45,0.88,S,0
path,person_0,-8.46,-0.67,0,1.02,3.0
path,person_0,-4.78,1.15,1,1.02,3.0
path,person_1,6.29,-1.92,0,0.76,3.0
path,person_1,8.66,-2.72,1,0.76,3.0
path,person_1,1.78,-2.25,2,0.76,3.0
path,person_1,-3.57,-1.44,3,0.76,3.0
path,person_1,-1.30,0.98,4,0.76,3.0
