# world seed 576599
type,name,x,y,param1,param2,yaw
box,rnd_box_0,3.50,0.59,1.23,1.85,98.5
box,rnd_box_1,-4.49,-1.76,1.85,0.95,109.4
box,rnd_box_2,6.59,-3.19,2.12,1.44,143.8
box,rnd_box_3,6.96,4.10,2.25,0.91,11.4
box,rnd_box_4,1.43,7.75,1.27,0.68,157.5
box,rnd_box_5,-1.09,6.13,1.26,1.57,169.9
cyl,rnd_cyl_0,-0.26,2.79,0.44,2.0,0
cyl,rnd_cyl_1,8.06,-0.55,0.65,2.0,0
cyl,rnd_cyl_2,-5.55,-6.59,1.11,2.0,0
cyl,rnd_cyl_3,-4.76,4.27,1.39,2.0,0
cyl,rnd_cyl_4,4.90,7.46,0.99,2.0,0
person,person_0,-8.24,1.26,0,0,126.7
person,person_1,-5.98,8.49,0,0,42.0
person,person_2,2.48,-4.28,0,0,-56.3
