# world seed 20260723021
type,name,x,y,param1,param2,yaw
box,partition_0,3.13,-6.84,0.40,6.31,0
box,partition_1,3.13,0.40,0.40,7.10,0
door,door_S_H,3.13,-3.42,0.54,x,0
box,partition_2,3.13,4.46,0.40,1.01,0
box,partition_3,3.13,7.89,0.40,4.22,0
door,door_N_A,3.13,5.37,0.81,x,0
box,partition_4,-8.85,3.96,2.31,0.40,0
box,partition_5,-1.83,3.96,9.91,0.40,0
door,door_W_A,-7.24,3.96,0.91,y,0
box,partition_6,5.34,3.96,4.42,0.40,0
box,partition_7,9.15,3.96,1.71,0.40,0
door,door_E_H,7.92,3.96,0.74,y,0
box,rnd_box_0,-4.21,0.04,1.33,1.02,109.7
box,rnd_box_1,-4.40,-4.28,1.12,1.91,9.6
box,rnd_box_2,7.22,-3.72,1.07,1.16,135.0
box,rnd_box_3,-1.30,-8.19,0.86,1.08,4.8
box,rnd_box_4,7.02,7.20,1.62,1.74,115.7
box,rnd_box_5,7.50,-0.75,0.98,1.90,35.2
box,rnd_box_6,-4.32,7.46,2.33,1.21,119.4
box,rnd_box_7,-0.14,-3.33,1.36,1.04,84.3
box,rnd_box_8,-6.34,-7.18,2.70,1.02,76.3
box,rnd_box_9,7.48,-7.32,2.97,1.41,89.0
cyl,rnd_cyl_0,0.95,-5.77,0.48,2.0,0
cyl,rnd_cyl_1,-7.53,-2.66,1.05,2.0,0
cyl,rnd_cyl_2,-4.12,2.58,0.44,2.0,0
cyl,rnd_cyl_3,-0.22,7.92,0.94,2.0,0
cyl,rnd_cyl_4,5.09,0.82,0.70,2.0,0
person,person_0,-8.28,8.50,0,0,-118.2
person,person_1,-1.72,-5.26,0,0,-166.3
person,person_2,-7.65,0.44,0,0,179.5
path,person_0,-8.28,8.50,0,0.80,3.0
path,person_0,-7.24,4.86,1,0.80,0.0
path,person_0,-7.24,3.06,2,0.80,0.0
path,person_0,-7.90,-0.80,3,0.80,3.0
path,person_0,-7.24,3.06,4,0.80,0.0
path,person_0,-7.24,4.86,5,0.80,0.0
xdoor,person_0,-7.24,3.96,0.91,W,0
path,person_1,-1.72,-5.26,0,1.08,3.0
path,person_1,-2.58,-8.26,1,1.08,3.0
path,person_1,-1.82,-2.67,2,1.08,3.0
path,person_2,-7.65,0.44,0,1.07,3.0
path,person_2,-2.97,-3.44,1,1.07,3.0
