# world seed 20260723002
type,name,x,y,param1,param2,yaw
box,partition_0,4.35,-4.41,0.40,11.19,0
box,partition_1,4.35,3.26,0.40,2.35,0
door,door_S_A,4.35,1.63,0.89,x,0
box,partition_2,4.35,5.18,0.40,1.49,0
box,partition_3,4.35,8.31,0.40,3.39,0
door,door_N_H,4.35,6.27,0.69,x,0
box,partition_4,-8.12,4.43,3.76,0.40,0
box,partition_5,-0.64,4.43,9.98,0.40,0
door,door_W_H,-5.93,4.43,0.62,y,0
box,partition_6,5.22,4.43,1.74,0.40,0
box,partition_7,8.48,4.43,3.03,0.40,0
door,door_E_A,6.53,4.43,0.87,y,0
box,rnd_box_0,-6.76,0.39,1.81,0.85,33.0
box,rnd_box_1,-8.25,-4.79,2.01,1.39,81.5
box,rnd_box_2,7.63,-0.93,2.20,1.30,69.4
box,rnd_box_3,-2.76,-3.29,1.19,1.78,6.4
box,rnd_box_4,-2.28,-6.81,2.46,1.61,16.7
box,rnd_box_5,-6.39,-8.44,1.73,1.79,103.9
box,rnd_box_6,8.39,-6.89,2.52,1.43,139.4
box,rnd_box_7,2.22,-4.73,1.39,0.68,97.4
box,rnd_box_8,-6.40,8.22,2.90,1.49,74.2
cyl,rnd_cyl_0,-0.03,6.16,0.44,2.0,0
cyl,rnd_cyl_1,1.66,-7.77,1.02,2.0,0
cyl,rnd_cyl_2,-2.41,5.96,0.69,2.0,0
cyl,rnd_cyl_3,-2.63,2.40,0.42,2.0,0
person,person_0,6.46,-4.03,0,0,111.9
person,person_1,1.15,8.30,0,0,157.7
person,person_2,7.38,8.29,0,0,69.0
path,person_0,6.46,-4.03,0,1.15,3.0
path,person_0,5.25,1.63,1,1.15,0.0
path,person_0,3.45,1.63,2,1.15,0.0
path,person_0,1.36,-2.25,3,1.15,3.0
path,person_0,3.45,1.63,4,1.15,0.0
path,person_0,5.25,1.63,5,1.15,0.0
xdoor,person_0,4.35,1.63,0.89,S,0
path,person_1,1.15,8.30,0,1.13,3.0
path,person_1,-1.57,8.21,1,1.13,3.0
path,person_1,0.64,6.98,2,1.13,3.0
path,person_2,7.38,8.29,0,0.85,3.0
path,person_2,8.67,5.01,1,0.85,3.0
path,person_2,7.12,8.69,2,0.85,3.0
