# world seed 59259
type,name,x,y,param1,param2,yaw
box,partition_0,2.59,-8.10,0.40,3.80,0
box,partition_1,2.59,-3.80,0.40,3.58,0
box,partition_2,2.59,0.39,0.40,2.96,0
box,partition_3,2.59,6.19,0.40,7.62,0
door,door_0,2.59,-5.90,0.61,x,0
door,door_1,2.59,-1.55,0.92,x,0
door,door_2,2.59,2.12,0.50,x,0
box,rnd_box_0,-0.76,4.86,2.09,0.86,110.2
box,rnd_box_1,-5.44,-2.03,2.94,1.87,37.9
box,rnd_box_2,-6.42,5.66,2.85,0.94,3.6
box,rnd_box_3,-3.81,-6.05,1.66,0.81,153.7
box,rnd_box_4,6.87,4.25,1.90,1.85,95.4
box,rnd_box_5,7.12,-3.74,2.77,1.32,80.6
box,rnd_box_6,-5.91,-8.06,1.11,1.97,107.9
box,rnd_box_7,-0.91,8.23,1.94,1.54,166.6
box,rnd_box_8,-0.48,-6.96,0.97,1.41,142.3
box,rnd_box_9,8.35,-7.83,2.16,1.87,42.4
box,rnd_box_10,-0.93,-3.44,1.50,1.59,115.8
box,rnd_box_11,6.51,8.28,2.80,1.56,38.7
cyl,rnd_cyl_0,8.10,0.32,1.12,2.0,0
cyl,rnd_cyl_1,5.59,-0.69,0.59,2.0,0
cyl,rnd_cyl_2,-3.78,2.75,0.86,2.0,0
cyl,rnd_cyl_3,4.79,-7.72,0.80,2.0,0
person,person_0,-6.41,1.84,0,0,-113.4
person,person_1,-8.13,-5.93,0,0,33.2
person,person_2,-3.95,8.28,0,0,94.8
