# world seed 20260723011
type,name,x,y,param1,param2,yaw
box,partition_0,4.07,-4.97,0.40,10.06,0
box,partition_1,4.07,1.61,0.40,2.00,0
door,door_S_H,4.07,0.33,0.56,x,0
box,partition_2,4.07,4.06,0.40,2.91,0
box,partition_3,4.07,8.12,0.40,3.75,0
door,door_N_A,4.07,5.88,0.73,x,0
box,partition_4,-5.22,2.61,9.55,0.40,0
box,partition_5,2.11,2.61,3.92,0.40,0
door,door_W_H,-0.15,2.61,0.60,y,0
box,partition_6,4.78,2.61,1.42,0.40,0
box,partition_7,8.21,2.61,3.58,0.40,0
door,door_E_A,5.96,2.61,0.93,y,0
box,rnd_box_0,-0.32,7.65,1.08,0.94,112.5
box,rnd_box_1,-2.45,-7.72,2.87,1.34,174.7
box,rnd_box_2,-1.89,-3.81,1.67,0.98,130.9
box,rnd_box_3,-8.34,8.21,2.91,1.93,36.0
box,rnd_box_4,-8.07,-0.67,1.13,1.30,64.7
box,rnd_box_5,-6.62,-4.52,2.33,1.72,160.4
box,rnd_box_6,1.81,-3.46,2.46,1.89,30.9
box,rnd_box_7,-1.81,5.44,1.95,1.47,20.3
cyl,rnd_cyl_0,-4.02,0.11,1.19,2.0,0
cyl,rnd_cyl_1,7.18,8.39,0.58,2.0,0
cyl,rnd_cyl_2,-6.56,4.67,0.80,2.0,0
cyl,rnd_cyl_3,7.14,-4.68,1.09,2.0,0
cyl,rnd_cyl_4,8.32,0.10,0.94,2.0,0
person,person_0,-6.58,-7.98,0,0,141.5
person,person_1,7.11,-7.69,0,0,148.8
person,person_2,7.55,5.45,0,0,41.5
path,person_2,7.55,5.45,0,1.14,3.0
path,person_2,5.96,3.51,1,1.14,0.0
path,person_2,5.96,1.71,2,1.14,0.0
path,person_2,5.84,-0.33,3,1.14,3.0
path,person_2,5.96,1.71,4,1.14,0.0
path,person_2,5.96,3.51,5,1.14,0.0
xdoor,person_2,5.96,2.61,0.93,E,0
path,person_0,-6.58,-7.98,0,1.00,3.0
path,person_0,-8.55,-5.64,1,1.00,3.0
path,person_0,-5.62,-8.72,2,1.00,3.0
path,person_0,-8.22,-5.60,3,1.00,3.0
path,person_0,-7.51,-8.25,4,1.00,3.0
path,person_1,7.11,-7.69,0,0.94,3.0
path,person_1,4.63,-8.37,1,0.94,3.0
path,person_1,7.77,-8.66,2,0.94,3.0
path,person_1,5.57,-6.17,3,0.94,3.0
path,person_1,4.64,-8.77,4,0.94,3.0
